"Gift Card","Gutscheine"
"The maximum number of times to enter Gift Card code is %d!","Der Gutscheincode kann maximal %d eingegeben werden!"
"Check Gift Card Balance","Check Gift Card Balance"
"Ship to recipient","An den Empfänger versenden"
"Custom message","Custom message"
"Create","Erstellen"
"Update","Aktualisieren"
"Mass update","Massenaktualisierung"
"Send email","Sende Email"
"Spend for order","Spend for order"
"Refund","Erstattung"
"Spend for order %s","Spend for order %s"
"Used by %s %s","Genutzt von %s %s"
"Gift Card Discount","Gift Card Discount"
"Refund from order %s","Refund from order %s"
"Active when order complete","Nach abgeschlossener Bestellung aktiv"
"Created for order %s","Erstellt für die Bestellung %s"
"Created by customer %s","Erstellt für Kunde %s"
"Please enter gift card information","Bitte Gutscheininformationen eingeben"
"Used","Genutzt"
"Expired","Ungültig"
"Gift Card (%s):","Gutschein (%s):"
"Gift card","Gutschein"
"Add/Redeem a Gift Card","Gutschein hinzufügen / einlösen"
"Enter Gift Card Code","Gutscheincode eingeben"
"Redeem Gift Card","Einen Gutschein einlösen"
"Redeem a Gift Card","Einen Gutschein einlösen"
"Add To Your List","Zu meiner Liste hinzufügen"
"Add a Gift Card","Gutschein hinzufügen"
"View detail","Details ansehen"
"Reset Filter","Filter zurücksetzen"
"Search","Suche"
"There are no items matching this selection.","Für diese Selektion konnte keine Übereinstimmung gefunden werden."
"Gift Card Credit","Guthaben"
"Your current balance is: ","Your current balance is: "
"Have a Gift card? %s here to redeem it","Sie haben einen Gutschein? %s hier, um ihn einzulösen"
"Click here","Hier klicken"
"Balance History","Erstattungsverlauf"
"Back","Zurück"
"You need add your friend address to shipping address when you proceed checkout. We will ship this gift card to that address.","Sie müssen die Versandadresse angeben um die Bestellung fortzusetzen. Der Gutschein wird an diese Adresse versendet."
"Characters Remaining: ","Verbleibende Zeichen: "
"Day To Send:","Versandtag:"
"Select Date","Datum auswählen"
"Use gift card credit to check out (%s)","Use gift card credit to check out (%s)"
"Loading...","Lade..."
"You are using","Sie nutzen"
"Edit","Bearbeiten"
"Gift Card Credit","Guthabenaccount"
"Apply","Anwenden"
"Use Gift Card Code to Spend","Zum Einlösen Gutscheincode benutzen"
"Gift Card Amount","Anzahl der Gutscheine"
"Removing Gift Card "%s" ...","Entferne Gutschein "%s" ..."
"Your order’s grand total is zero now. No need to add any more Gift code.","Der Rechnungsbetrag beträgt 0. Keine weiteren Gutscheine nötig."
"The maximum number of times to enter Gift Card code is %d!","Dieser Code ist maximal %d anwendbar!"
"Gift Card Code","Gutscheincode"
"Or select an existed Gift Card Code","oder bestehenden Gutscheincode wählen"
"Existed Gift Card Code","Existed Gift Card Code"
"-- Please Select --","-- Bitte auswählen --"
"To manage your Gift Card, please click <a target="_blank" href="%s">here</a>.","Um Ihre Gutscheine zu verwalten, klicken Sie bitte <a target="_blank" href="%s">hier</a>."
"Add Gift Card","Gutschein hinzufügen"
"Gift Card Code Information","Gutscheincode Informationen"
"Gift Card Code","Gift Card Code"
"Description","Beschreibung"
"Added Date","Added Date"
"Comment","Kommentar"
"This is your gift to give for %s","This is your gift to give for %s"
"Check Shipping","Versand prüfen"
"Track the shipment","Versand verfolgen"
"Tracking Number(s):","Verfolgungs-Nummern:"
"Use Gift card credit to check out (%s)","Use Gift card credit to check out (%s)"
"Use money on your gift card credit","Use money on your gift card credit"
"Use Gift card to check out","Use Gift card to check out"
"Apply Gift Card","Apply Gift Card"
"Email Gift Card to Friend","Email Gift Card to Friend"
"Email to a Friend","Email to a Friend"
"Name:","Name:"
"Email Address:","Email Adresse:"
"Message:","Mitteilung:"
"Send to Friend","An einen Freund senden"
" card"," card"
"Permanent,"Dauerhaft"
"Message","Mitteilung"
"Redemption","Einlösen"
"To the value of","To the value of"
"Gift Card Code Detail","Gutscheincode Details"
"History","Verlauf"
"Date","Datum"
"Balance Change","Balance Change"
"View Order","Bestellung ansehen"
"N/A","Nicht verfügbar"
"Email to Friend","Email an einen Freund"
"Redeem","Einlösen"
"Use money on customer gift card credit","Use money on customer gift card credit"
"Customer Gift Card Code","Customer Gift Card Code"
"Refund to customer gift card credit balance","Refund to customer gift card credit balance"
"Refund to customer gift card code used to check out","Refund to customer gift card code used to check out"
"Refund to your Gift card credit balance","Refund to your Gift card credit balance"
"Refund to your Gift card code","Refund to your Gift card code"
"Carrier","Carrier"
"Title","Titel"
"Number","Nummer"
"Customer Redeem","Customer Redeem"
"API User Redeem","API User Redeem"
"API User Update","API User Update"
"Admin Update","Admin Update"
"Customer Spend","Customer Spend"
"Admin Refund","Admin Refund"
"Pending","Ausstehend"
"Active","Activ"
"Disabled","Deaktiviert"
"Gift card was successfully removed","Gutschein wurde entfernt"
"Gift card "%s" is invalid.","Der Gutschein "%s" ist ungültig."
"Exceed the number of users allowed","Maximale Nutzeranzahl für den Gutschein erreicht"
"This Gift card already exists in your list.","Dieser Gutschein existiert bereits in der Liste"
"Gift card "%s" is not avaliable","Gutschein "%s" ist nicht verfügbar"
"%s - Balance of gift card is 0","%s - Balance of gift card is 0"
"Redeem to the credit balance","Redeem to the credit balance"
"Redeemed by %s","Eingelöst durch %s"
"Gift card "%s" was successfully redeemed","Gutschein "%s" wurde eingelöst"
"Cannot send the gift card email.","Die Email konnte nicht versendet werden."
"Gift card email has been sent successfully.","Gift card email has been sent successfully."
"Cannot send Gift card email to your friend!","Die Email an einen Freund konnte nicht versendet werden!"
"Gift card "%s" has been removed successfully!","Der Gutschein "%s" wurde entfernt!"
"Gift card "%s" not found!","Gutschein "%s" nicht gefunden!"
"Gift card "%s" has been purchased to send to your friend.","Gift card "%s" has been purchased to send to your friend."
"Gift card "%s" has been applied successfully.","Gift card "%s" has been applied successfully."
"This Gift card limits the number of users","Gutschein hat maximale Nutzeranzahl"
"The gift card has been updated successfully.","The gift card has been updated successfully."
"Your Gift Card used to checkout has been updated successfully","Your Gift Card used to checkout has been updated successfully"
"Your gift card information has been removed successfully","Gutscheininformationen wurden entfernt"
"Invalid gift card code. ","Gutscheincode ist ungültig. "
"You have %d times remain to enter gift card code.","You have %d times remain to enter gift card code."
"Gift card "%s" is not added.","Gutschein "%s" wurde nicht hinzugefügt."
"Gift card "%s" has been removed successfully.","Gutschein "%s" wurde entfernt."
"Gift card "%" has been sent to the customer\"s friend.","Gift card "%" has been sent to the customer\"s friend."
"Gift card "%s" is not avaliable.","Gutscheincode "%s" ist nicht verfügbar."
"The gift card information has been removed successfully.","Gutscheininformationen wurden entfernt."
"Template Manager","Template Manager"
"Edit Template","Template bearbeiten"
"New Template","Neues Template"
"Template News","Template News"
"Template was successfully saved","Template gespeichert"
"Unable to find Template to save","Template konnte nicht gespeichert werden"
"Each template only generate a time","Each template only generate a time"
"Template was successfully duplicated","Template dupliziert"
"Unable to find Template to duplicate","Template konnte nicht dupliziert werden"
"Template was successfully deleted","Template entfernt"
"Please select Template(s)","Bitte Template auswählen"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Manage Gift Card Product","Manage Gift Card Product"
"Please select product(s).","Bitte Produkte wählen"
"Total of %d record(s) have been deleted.","%d Einträge gelöscht."
"Total of %d record(s) have been updated.","%d Einträge aktualisiert."
"An error occurred while updating the product(s) status.","Fehler bei Aktualisierung"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Mindestens ein Eintrag hat keine SKU. Bitte SKU eintragen"
"Import Gift Code","Gutscheincode importieren"
"Gift code %s already existed","Der Gutschein mit dem Code %s existiert bereits"
"Imported total %d Gift Code(s)","Es wurden %d Gutscheincodes importiert"
"No gift code imported","Geschenkgutschein nicht importiert"
"No uploaded files","Keine Dateien zum uploaden"
"There is no email address.","Keine Mail-Adresse angegeben"
"Gift Code was successfully deleted","Gutscheincode erfolgreich gelöscht"
"Total of %d Gift Code with %d email(s) were successfully sent.","Total of %d Gift Code with %d email(s) were successfully sent."
"Gift card code pattern","Gift card code pattern"
"Show number of prefix","Show number of prefix"
"Hidden character will be replaced by","Unsichtbare Zeichen werden ersetzt durch"
"Auto change gift card status depend on order","Auto change gift card status depend on order"
"Disable gift card when order state is","Disable gift card when order state is"
"Disable Gift Card created from this order","Disable Gift Card created from this order"
"day(s). Empty or zero is no limitation. (Only use for frontend)","day(s). Empty or zero is no limitation. (Only use for frontend)"
"Enable gift card credit balance","Enable gift card credit balance"
"Auto refund when order is canceled","Auto refund when order is canceled"
"Auto refund when order is refunded online","Auto refund when order is refunded online"
"Auto update gift card information when the shipment is created","Auto update gift card information when the shipment is created"
"Maximum time(s) allowed to incorrectly enter gift card code","Maximum time(s) allowed to incorrectly enter gift card code"
"Maximum number of users per one gift card","Maximum number of users per one gift card"
"Gift product view","Gift product view"
"Description of gift card value","Description of gift card value"
"Allow shipping gift card","Allow shipping gift card"
"Enable custom message","Enable custom message"
"Message max length","Maximale Nachrichtenlänge"
"Preview message in product view page","Preview message in product view page"
"Schedule to send gift cards","Schedule to send gift cards"
"Display full information in cart","Alle Informationen im Warenkorb anzeigen"
"Email notification","Erinnerungs-Email "
"Enable email notification","Erinnerungs-Email aktivieren"
"Gift card notes","Gift card notes"
"Attach printable PDF files to emails","PDF Dokument an Email anhängen"
"Send to purchaser email template","Send to purchaser email template"
"Send gift card to friends via email only when the status is activated","Send gift card to friends via email only when the status is activated"
"Send gift card email to friends although it is shipped","Send gift card email to friends although it is shipped"
"Send gift card to friend email template","Send gift card to friend email template"
"Enable to send auto-email before gift card expires","Enable to send auto-email before gift card expires"
"Send email before","Sende Email bevor"
"Print Card","Gutschein drucken"
"Logo for PDF Print-outs","Logo für PDF Drucke"
"Your Account Credit will be calculated in the order confirmation (%s)","Das Guthaben Ihres Kundenkontos wird in der Auftragsbestätigung abgezogen (%s)"
